,Unnamed: 0,npo02__LastCloseDate__c,npo02__FirstCloseDate__c,AccountNumber,Id,npo02__LastOppAmount__c,npo02__OppAmountThisYear__c,npo02__OppAmountLastYear__c,npo02__TotalOppAmount__c,npo02__OppAmount2YearsAgo__c,npo02__NumberOfClosedOpps__c,npo02__LargestAmount__c,npo02__SmallestAmount__c,npo02__AverageAmount__c,Total_Gifts_This_Year_as_of_Last_Year__c,Account Record Type,First_Gift_Year__c,Last_Close_Month,AccountId,amount_min,amount_max,amount_mean,start_year,latest_year,first_month,avg_month,latest_month,amount_total,non_zero_counts,this_year_non_zero_counts,this_year_amount_total,this_year_amount_mean,prev_year_non_zero_counts,prev_year_amount_total,prev_year_amount_mean,account_age,dormancy_years,average_total_donation,average_time_between_donation,amount_total_percentiles,non_zero_counts_percentiles,dormancy_years_percentiles,persona,group
10,10,2024-01-17,2024-04-30,ewwsGgoCGtHsLFZnvuXCvYPHIaiMfltQvqMvPsto,vZSwhkuxvGXnDOxljnkjLCteOKMAoSWFIEIfvuRm,73514.33,74701.7,14090.21,3596.21,62056.78,38409.99,99514.1,66985.86,34487.63,2.23,Family Church,2024,1,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,2025-02-11,2023-04-07,UaccStUdSjNgxNhrHSxhfLYYJZyWMvplRjFfhruz,uqGmScbLqvJmabocFwpnpRmRvXlHYmdCEMixApKo,34835.84,41881.57,16576.68,52499.81,40075.69,76089.46,85157.47,35879.0,19777.06,84.68,xigua,2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,2024-06-08,2025-07-11,sxlUDFLTdCwdcpXZnkGJasPlUHjYubrdVcQyOPFp,aSVwxsSCwEehEZgrDDhDlGgUsyFOGDtitVEgsvfO,59205.97,62436.24,69910.76,15854.9,3473.63,34347.17,20886.57,88895.45,86217.76,9.5,church,2025,6,aSVwxsSCwEehEZgrDDhDlGgUsyFOGDtitVEgsvfO,85075.89,98184.37,91630.13,2022.0,2025.0,1.0,2.0,3.0,183260.26,2.0,,,,,,,3.0,0.0,61086.753333333334,0.6666666666666666,0.9910913140311804,0.9454342984409799,0.10523385300668152,Gary,Gold
13,13,2023-05-07,2023-09-28,CndpaDtyALiHXKkNUoBgwreyywuRyYacbSHrcVDq,bGlfJRNUDZDBWCwacVggGnERtzFcXCqIMnjzjTKS,91783.88,38211.41,71848.2,29569.86,91778.48,42156.93,24785.52,48377.21,47817.32,52.87,temple,2023,5,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,2025-12-08,2023-12-09,cDBiDiesPjMyouUaadWICnuxsxIDsNGNkWtswygj,vlSDgOLQSkqSerjaAWDrzXfKKizsMxPdZRVOtKLs,73924.39,2823.32,83159.94,38283.45,13228.96,95250.72,95090.02,49037.77,29297.83,10.49,religious institution,2023,12,vlSDgOLQSkqSerjaAWDrzXfKKizsMxPdZRVOtKLs,61699.98,61699.98,61699.98,2022.0,2022.0,12.0,12.0,12.0,61699.98,1.0,,,,,,,3.0,3.0,20566.66,0.3333333333333333,0.5723830734966593,0.4510022271714922,0.5662583518930958,Peter,Orange
15,15,2025-02-11,2024-12-08,OqfVgMvZVgUlxjWjcIeiPQhSRuhJFehTPtdJldaj,nhwPhbFLgbynPcayVoeeDgEdcBEIwhDFAZhkcrbr,30654.97,75854.86,45733.37,81169.5,16221.99,3515.41,74713.62,20542.81,78809.74,55.62,Family,2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,2025-02-11,2025-03-16,mGIqAhsxZgxIbeKskBENBoHYdTmNTJhllpnpVgDE,kxwBUdwqZGypmwyjamiGzpkZqcAJyEKCoiTUTLuL,47671.11,4283.83,74229.05,78283.96,68610.6,3432.8,27551.07,36603.46,56375.05,24.47,xigua,2025,2,kxwBUdwqZGypmwyjamiGzpkZqcAJyEKCoiTUTLuL,83451.76,83451.76,83451.76,2023.0,2023.0,6.0,6.0,6.0,83451.76,1.0,,,,1.0,83451.76,83451.76,2.0,2.0,41725.88,0.5,0.7917594654788419,0.4510022271714922,0.41648106904231624,Gary,Gold
17,17,2025-02-20,2024-04-11,cCoBQykrUNLAVveBoJdFKDBGdpMcFsDNzHvWxjQo,cZZGOlLNmkRQiyhURHKpwclEQqSuFpjSqgSMMScz,41078.87,27549.13,48583.1,79459.78,55133.56,99878.47,47749.7,32200.07,30838.3,24.47,religious institution,2024,2,cZZGOlLNmkRQiyhURHKpwclEQqSuFpjSqgSMMScz,2119.18,2119.18,2119.18,2026.0,2026.0,1.0,1.0,1.0,2119.18,1.0,,,,,,,-1.0,-1.0,-2119.18,-1.0,0.021158129175946547,0.4510022271714922,0.013363028953229399,Yara,Light Blue
18,18,2025-04-11,2024-06-16,jsOkEMBSjqEDETpQdSnsATamPPRysWfiPnjOmWnh,DjTMUGORmGhntFqYmbZPESMVZdHeCIqNvTLirlJu,72026.21,36330.61,54911.7,18618.51,60142.08,97828.66,83851.46,59891.55,28940.88,69.1,temple,2024,4,DjTMUGORmGhntFqYmbZPESMVZdHeCIqNvTLirlJu,14869.06,14869.06,14869.06,2019.0,2019.0,4.0,4.0,4.0,14869.06,1.0,,,,,,,6.0,6.0,2478.1766666666667,0.16666666666666666,0.12026726057906459,0.4510022271714922,0.9548997772828508,Beth,Red
19,19,2026-01-11,2023-04-23,HlrxtoXVyuShqBGdKvaEZgPLmlusTfRJUlqYsQVY,YVtRcXKyAOTobHKNCYJoppHukrbMwceHmMpiTalS,53048.38,92259.39,65474.72,14434.47,99770.51,85924.48,27807.4,33550.37,16333.55,13.86,religious institution,2023,1,YVtRcXKyAOTobHKNCYJoppHukrbMwceHmMpiTalS,94628.35,94628.35,94628.35,2025.0,2025.0,8.0,8.0,8.0,94628.35,1.0,,,,,,,0.0,0.0,inf,inf,0.8853006681514477,0.4510022271714922,0.10523385300668152,Gary,Gold
20,20,2026-02-16,2024-04-21,GvxCQSxwayigBtbvwrlNhrMLifaJLCdoztTKNQMZ,NSDInApkKXURMtaUIfcCEEuIOqRkMDHxAWzVXYIO,59536.97,78629.59,45292.82,76057.07,29534.06,39250.88,93270.87,18253.14,85512.41,81.66,zucchini,2024,2,NSDInApkKXURMtaUIfcCEEuIOqRkMDHxAWzVXYIO,1938.83,1938.83,1938.83,2022.0,2022.0,12.0,12.0,12.0,1938.83,1.0,,,,,,,3.0,3.0,646.2766666666666,0.3333333333333333,0.0200445434298441,0.4510022271714922,0.5662583518930958,Beth,Red
21,21,2023-11-15,2023-06-14,gjWQUajhmliGFlkagRUKztNnNMkilpmuglWUHOfN,cLFqKXWjBiLFUjJKmLrdLGUoHmvbpoqSDDCqPhVl,96227.92,96194.0,94079.98,87983.96,58000.94,67295.85,66560.91,98745.72,92815.63,45.04,xigua,2023,11,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,2026-03-08,2023-08-05,nUMbvNhVUMeRqvWujezkQGhkhfVRiWAAIntldHdr,ubGGqvJqfcniXXDyJnsAhzsrSvSyUOtzJIMuxYZZ,14843.21,40434.13,26263.39,88197.92,28783.74,68349.7,38585.54,54596.36,86542.76,75.57,Family Church,2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,2026-03-02,2024-11-06,QNmqRDcXzeVXrqIxnqLuWxQtZxBmyFmQmrRNnppa,lNEIyBNWNfKBVAanXnFQTvwvwgbnoAxTBnofdehe,15119.63,21995.52,1111.86,20403.08,56386.79,28525.74,48929.32,65261.74,36275.1,52.36,zucchini,2024,3,lNEIyBNWNfKBVAanXnFQTvwvwgbnoAxTBnofdehe,82462.75,82462.75,82462.75,2025.0,2025.0,10.0,10.0,10.0,82462.75,1.0,,,,,,,0.0,0.0,inf,inf,0.7828507795100222,0.4510022271714922,0.10523385300668152,Gary,Gold
24,24,2023-10-20,2024-06-28,DNOkAMUSyyUevnQGEzXopGmHGoIZjoWDNzGXxaHw,wHFVBRJMncsEaxHEQVLSUvhvxJgweHVRbqRXCovt,53461.61,43719.86,62656.37,51655.1,78141.03,94541.54,38297.31,25457.0,53240.47,25.12,Family Church,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,2024-03-31,2026-01-08,RaIelqvDEXpocjmSsyBWdRILefLsSmMQxlhldPHZ,fEnVgjzXbiLXvcllHqrYSaJKZGsQKdnynoFANhmw,14613.4,68457.71,14023.07,42714.77,3585.23,88314.15,89492.42,92985.8,5119.53,61.41,watermelon,2026,3,fEnVgjzXbiLXvcllHqrYSaJKZGsQKdnynoFANhmw,57459.83,57459.83,57459.83,2020.0,2020.0,7.0,7.0,7.0,57459.83,1.0,,,,,,,5.0,5.0,11491.966,0.2,0.5311804008908686,0.4510022271714922,0.839086859688196,Peter,Orange
26,26,2024-10-22,2024-04-23,OezMTytLVKQXyrkiPQZHWjpvmNVViwnJLACeHgiL,ogJBDZHbYYULGdmbJZnHQknYANynfHtpxmqIwkbL,22740.26,17060.36,71164.68,7674.12,98365.9,21927.55,26580.24,45236.5,22767.85,98.96,xigua,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,2024-07-15,2023-05-15,thxGoCSBAegQpREKxBFrGswIbICLVmQFuqWTyEeI,hJUtBUioVJSoTSpJtDPsmBQulXGnBVMqxFEWVtsu,97973.56,24975.03,86971.9,56803.2,16889.62,61156.38,98501.13,78726.01,10286.63,42.24,xigua,2023,7,hJUtBUioVJSoTSpJtDPsmBQulXGnBVMqxFEWVtsu,89190.5,89190.5,89190.5,2020.0,2020.0,7.0,7.0,7.0,89190.5,1.0,,,,,,,5.0,5.0,17838.1,0.2,0.8351893095768375,0.4510022271714922,0.839086859688196,Laura,Purple
28,28,2024-04-08,2025-03-17,WaYTyAkGJbElfkRAHniPqyNOrmRzwcwnEZnMZoex,cgNhVmLTcpkprKgjbInGdAJGdbzImFGlCzNmnUZD,85300.19,88654.61,18778.65,57177.82,65128.45,90762.65,54452.88,62312.1,13830.85,37.07,religious institution,2025,4,cgNhVmLTcpkprKgjbInGdAJGdbzImFGlCzNmnUZD,98008.13,98008.13,98008.13,2025.0,2025.0,7.0,7.0,7.0,98008.13,1.0,,,,,,,0.0,0.0,inf,inf,0.9242761692650334,0.4510022271714922,0.10523385300668152,Gary,Gold
29,29,2024-04-02,2024-08-12,jwWwUxXbzkmUHXmmKxPrkfPFoGUhpCvcndSWkGVV,yChCmZqeEuRAjuWtnAahbEXCzrMnPSdPBxZtXjkL,52564.94,25203.04,79341.71,85399.22,96354.88,86782.48,23189.06,33807.51,87154.93,17.05,religious institution,2024,4,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,2025-02-16,2024-01-15,bOJZSgCokcFGULXwENKfAJSJnZznFhoeVkGdwKKK,FRlgSjBgIwHFMYLLNJLwJBqvmCpTnGSpuHUsmFuO,98526.7,43534.29,43825.24,86884.78,85759.14,99410.54,78047.23,90275.74,44514.23,79.86,temple,2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,2025-03-21,2025-02-01,XktyYfxpNyllVgNQGCZZrOgxCVJqFPmBtvdHfWPP,NrOROmXjAbpsWcPiNWnARGOLGYzYXSdABlfhOxMR,81528.33,30587.77,83184.99,29154.94,61368.37,1628.37,3723.53,82951.63,71659.72,30.06,religious institution,2025,3,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,2026-02-25,2023-05-06,zVgCdnvLWDSnjgihqszequIJUCeStnFdNVwJsTaF,ruhSebwahChsUDjwWCjTHDAoSsTIiteTWwJESVpX,21127.87,87998.03,55942.08,53853.55,59119.45,18580.56,49148.77,10423.63,40482.77,53.46,zucchini,2023,2,ruhSebwahChsUDjwWCjTHDAoSsTIiteTWwJESVpX,68822.04,68822.04,68822.04,2023.0,2023.0,7.0,7.0,7.0,68822.04,1.0,,,,1.0,68822.04,68822.04,2.0,2.0,34411.02,0.5,0.6447661469933185,0.4510022271714922,0.41648106904231624,Ryan,Green
33,33,2023-09-14,2024-05-03,XlvLtRIknszNBCwTqRybevEshmhslQAMAkMNmYGk,LbpvyxmdzXgHaUQrQsdyEHLISySzfLQccBUzqDRl,65439.07,46482.51,28608.29,10821.78,47369.35,3179.53,25771.41,88393.07,72229.87,13.88,zucchini,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,2025-04-08,2025-05-24,YfrhmUgFbfPypMXRfIhqXisUFyCcpjzonNRnTRfi,ILmGGDyVnyfEvfUAtQsgDRHySsSJVAoOFdovzzFk,33489.75,98631.2,88330.97,21495.05,31452.09,85729.74,55078.09,63468.28,64112.82,36.51,Family,2025,4,ILmGGDyVnyfEvfUAtQsgDRHySsSJVAoOFdovzzFk,53271.58,53271.58,53271.58,2024.0,2024.0,7.0,7.0,7.0,53271.58,1.0,1.0,53271.58,53271.58,,,,1.0,1.0,53271.58,1.0,0.4866369710467706,0.4510022271714922,0.26447661469933187,Ryan,Green
35,35,2024-11-24,2023-07-11,uWmXQtWtQUWambZADnSUslwTPDCRkDzqbhoSAply,klqeitEYJLrKdrPWGOktlvsKmpRdtOFRJeKVLqrU,72409.7,2830.13,95922.47,78955.08,89645.75,26153.81,84493.87,46156.38,8923.8,64.03,Family,2023,11,klqeitEYJLrKdrPWGOktlvsKmpRdtOFRJeKVLqrU,25791.56,25791.56,25791.56,2021.0,2021.0,1.0,1.0,1.0,25791.56,1.0,,,,,,,4.0,4.0,6447.89,0.25,0.2182628062360802,0.4510022271714922,0.7065701559020044,Beth,Red
36,36,2024-04-18,2025-04-14,RcmnlhzLeQlsSZrWIknDsHPWAzFolhnwewJUKVNF,wzJwTNoQpnoYLrDYmMZRMXDwYPSOLbMgHNDqjiwX,12606.74,56355.77,83417.71,92732.66,90906.47,94733.27,60639.25,44807.22,3097.64,16.52,temple,2025,4,wzJwTNoQpnoYLrDYmMZRMXDwYPSOLbMgHNDqjiwX,63161.82,90154.57,76658.195,2024.0,2024.0,4.0,5.0,6.0,153316.39,2.0,2.0,153316.39,76658.195,,,,1.0,1.0,153316.39,2.0,0.9832962138084632,0.9454342984409799,0.26447661469933187,Gary,Gold
37,37,2026-01-22,2025-07-28,ksOpAEnebLrzClovHGahXYJgsyotVTRTZvljFqVf,PGJTKvVBCHbCZHYzdYUQYlBowGtqayofJXWdLZGw,53727.36,82341.75,40360.02,64740.37,33805.67,77081.88,26583.54,62771.99,45729.25,7.56,religious institution,2025,1,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,2026-03-15,2025-09-29,ljMEjqhtnSFxbroSscWqyjsqYELofwOqyiqsgAgm,OhYDmYjtHSBvtyClPwRSLDcqaYdVDShPanzCKfax,25027.6,40407.29,3129.93,46095.54,51526.84,61628.48,40052.69,71242.75,6306.02,46.63,church,2025,3,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,2025-10-08,2023-05-12,ytLnUBSdUKaiPsqqupUyCTSniEBqBsfSFtyzULlE,iPoSIcyjZPngXWBnvCSXfIqCbueVjAJmXDcbZpal,28799.14,53528.02,92121.72,2739.71,29909.38,6896.07,19574.09,20050.25,33719.23,78.97,temple,2023,10,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,2023-12-07,2023-04-01,fGbJuysyKDTUUkrnABYEbBPRwidStYVOfncFSnWd,XWzSVDcCFEKpTGUbrPwbLVUXoRBAfOCicRjVhykx,35322.31,81842.62,77330.23,479.36,39494.1,52326.75,23395.88,61684.28,41767.4,43.26,temple,2023,12,XWzSVDcCFEKpTGUbrPwbLVUXoRBAfOCicRjVhykx,40993.08,40993.08,40993.08,2020.0,2020.0,12.0,12.0,12.0,40993.08,1.0,,,,,,,5.0,5.0,8198.616,0.2,0.36971046770601335,0.4510022271714922,0.839086859688196,Peter,Orange
41,41,2025-10-22,2024-09-21,CWhTDzfNHCekJZUPncqTEjAGAeEHbXpzdWAvHMzX,VUZtnUfOGWmsLfgSwWqlYUZeTKUCZCcYIfWyJGnu,73360.43,46410.01,51.74,38497.43,17190.08,84845.18,59561.59,37236.93,79069.5,64.81,Family,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,2023-04-08,2023-07-14,zBWUBBVZslRSqCqRynpgOlrMsnbpkGdsNyqVlIvR,HsZJXqypAJEFEzbDAPXeRmLlHLeHYDIvAtFfNuxT,18309.08,28526.3,3489.97,83070.6,14175.4,34793.26,98318.32,65609.95,80607.24,33.31,church,2023,4,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,2026-02-04,2025-05-02,mVKKABpZvJooHVLwdoYtThwQQrNkdWQGBECPjHhq,gxMmBPdbcewJbLKHdddhhtUGkNUDXJbXmDvIxAlm,23805.52,32066.79,64056.29,86160.97,17980.19,1069.4,46945.55,32793.35,71926.24,35.54,temple,2025,2,gxMmBPdbcewJbLKHdddhhtUGkNUDXJbXmDvIxAlm,32346.52,32346.52,32346.52,2024.0,2024.0,11.0,11.0,11.0,32346.52,1.0,1.0,32346.52,32346.52,,,,1.0,1.0,32346.52,1.0,0.2828507795100223,0.4510022271714922,0.26447661469933187,Yara,Light Blue
44,44,2023-08-16,2024-11-08,lvlbJIADRHtQdoEskfYhxUTygTYhmkDHwdgsccVu,ksDoGCDOHvKXgUsxogwEMzPRcfHqGjTMnUcOkZnt,22766.05,72578.29,58117.77,42568.44,67894.62,12178.97,60448.93,19088.23,94670.96,90.19,Family,2024,8,ksDoGCDOHvKXgUsxogwEMzPRcfHqGjTMnUcOkZnt,769.0,44748.47,22758.735,2021.0,2025.0,2.0,3.5,5.0,45517.47,2.0,,,,,,,4.0,0.0,11379.3675,0.5,0.4142538975501114,0.9454342984409799,0.10523385300668152,Ryan,Green
45,45,2024-01-23,2023-10-15,SjxBdiFlOzEweAcYsnwwsoKEhsWzRYfUxfEfvncF,NFokkXGOQuaamJUxjnmFVfxKmccFcBrmnGlmVskF,17712.23,46262.49,61205.64,42292.98,24916.49,86185.06,45784.19,63928.65,85606.76,63.4,religious institution,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,2026-01-20,2025-09-03,wshKgKDdbWuGRioZGqakMOVQqYGjCHNgRvvkijfX,ypAIvUvdvFknmgUCsbGerqItGkpxJKploCJMlfCo,7353.63,31914.01,41114.59,84786.86,21215.38,85974.35,98346.09,18661.98,4140.14,50.77,Family Church,2025,1,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,2025-09-03,2025-11-27,wGiYDwbyUiypAhOYPfqGraVdbgeOmmBBIwBYKrub,yBcPBxVDfxEYOOltlOWdZFgBdMUrNgBuxTfFYxHI,37912.64,49169.09,27484.09,87182.86,82882.55,50549.94,25319.49,9648.38,26191.37,80.67,watermelon,2025,9,yBcPBxVDfxEYOOltlOWdZFgBdMUrNgBuxTfFYxHI,15011.08,87741.32,51376.200000000004,2022.0,2023.0,3.0,5.0,7.0,102752.40000000001,2.0,,,,1.0,15011.08,15011.08,3.0,2.0,34250.8,0.6666666666666666,0.9521158129175946,0.9454342984409799,0.41648106904231624,Gary,Gold
48,48,2023-08-19,2023-09-26,cZJtLlsJIdGGgAewiNrhLDBhaNLkNbnLyCYkxYLR,XxECVtHqefyEyYHbRpWGjySRitdgINIcmjwxQiaO,19600.87,61562.45,76604.14,94071.96,46030.62,2380.62,8235.34,3729.01,76671.67,39.89,Family,2023,8,XxECVtHqefyEyYHbRpWGjySRitdgINIcmjwxQiaO,30395.09,30395.09,30395.09,2021.0,2021.0,12.0,12.0,12.0,30395.09,1.0,,,,,,,4.0,4.0,7598.7725,0.25,0.2561247216035635,0.4510022271714922,0.7065701559020044,Beth,Red
49,49,2023-08-16,2024-02-02,eaHqWpOGsiFhieoJWUAonXSiafysRkGonTszQgzc,paydDamwimyXRuCQUkbzxFDTneJbJqBKEFyEApqJ,7408.07,53724.87,22599.41,18238.59,61544.79,6227.21,87048.6,91192.9,35517.66,90.49,religious institution,2024,8,paydDamwimyXRuCQUkbzxFDTneJbJqBKEFyEApqJ,71312.14,71312.14,71312.14,2019.0,2019.0,9.0,9.0,9.0,71312.14,1.0,,,,,,,6.0,6.0,11885.356666666667,0.16666666666666666,0.6670378619153675,0.4510022271714922,0.9548997772828508,Peter,Orange
50,50,2024-04-25,2023-03-31,ZUOXkziIVSJcZXGjtnYHfjeYcoBfNcZsNOycEyMO,nPpIkewOmZMzSHYZXIsKqFqJGcyxSeEfdLkFMKEU,15160.06,45915.83,41616.08,91856.61,50491.65,51720.74,86585.2,26912.3,51740.3,89.28,zucchini,2023,4,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,2023-08-05,2024-11-21,XBxeWyHjjcVpUIPpMJTteXdWNZLgetJcqkKhcbdZ,tJIeZObDhdfYIRkBjFaIBlPtYnEgUKPGnKfQbDpC,21890.85,68804.86,53079.49,97703.04,35498.7,88289.49,1879.05,56066.79,66229.09,3.42,religious institution,2024,8,tJIeZObDhdfYIRkBjFaIBlPtYnEgUKPGnKfQbDpC,52303.24,52303.24,52303.24,2019.0,2019.0,5.0,5.0,5.0,52303.24,1.0,,,,,,,6.0,6.0,8717.206666666667,0.16666666666666666,0.4755011135857461,0.4510022271714922,0.9548997772828508,Peter,Orange
52,52,2025-01-03,2025-05-06,OoKiyrMMONvRVGkFMUFvccoyCVkgnftKdpwJlRnS,iLTPMZwAtRrsflzNzuHcyqYMrQDmarFFrofqbdkV,82914.31,99550.08,40367.93,49368.57,6892.67,64562.37,3949.54,26343.29,47265.71,37.19,watermelon,2025,1,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,2025-10-02,2024-11-25,UwDpeTSJFjvvUGAKulMpdEOxOcJDHXsRFaaBqwzU,jmhZehrqDWEtlqkLmsCCUIbHpTNqQaenWIlbhfGa,97148.66,41222.13,20754.55,3369.6,19358.56,53629.91,24090.67,1873.97,96387.9,12.34,temple,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,2024-02-02,2026-02-24,dpxoaWqzvJItmlZDGhDXGxUwFArEHbmcwDcFaDKv,CJWiRpNKbuzpdGTHsQpKXEmoyaKAGycQPpWsrroU,15356.04,54601.83,49079.34,98149.43,6610.54,80518.18,71342.19,57256.69,74853.0,95.96,watermelon,2026,2,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,2024-10-26,2024-04-23,HRcnwEbnUEfLbWTEysQskdQPpuIMpSqKeDAmYLXV,TBBfdkCUxQOxvFXAVfTbSXHdTsHbmNGhrVAqEGLR,24861.7,16358.17,82074.87,1044.2,61833.26,28696.27,76141.8,73642.98,24197.37,59.26,religious institution,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,2025-06-08,2024-11-25,ZbPrWwguWcQaadWxmVZswlOqyIqEIWZUuRCrfCZT,DJtRUtkBMeDCbipClwmuobMkbqTwPbNhFWYDJFki,58551.96,94510.0,1595.44,8812.92,75848.18,24467.93,56331.84,21426.72,92943.65,5.86,xigua,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,
